Subj	Age	Consent	Gender	NativeGerman	lang1	prof1	lang2	prof2	lang3	prof3	DesignNum	Date	Cond	Item	Word.number	Word	Word.length	Word.RT	Newline	Sentence	Q.ACC	Q.RT	CW.number	CritOrder	PresOrder	Repeat
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	86	1	Nur	3	503	False	Nur_alle_zehn_Jahre_verpasse_ich_die_Andacht_in_der_Kapelle.	1	4967	NA	1	1	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	21	1	Ich	3	784	False	Ich_habe_vor,_zum_Skifahren_zu_verreisen_in_diesem_Winter.	1	5319	5	2	2	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	41	1	Ich	3	720	False	Ich_warte_gespannt_auf_das_morgige_Spiel_von_Deutschland_gegen_Italien.	1	3047	NA	3	3	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	6	1	Gestern	7	606	False	Gestern_war_ich_in_der_Oper_und_es_war_großartig.	1	7199	6	4	4	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	93	1	Ich	3	547	False	Ich_habe_ein_Hotelzimmer_für_2_Nächte_im_Holiday_Inn_reserviert.	1	3556	NA	5	5	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	49	1	Ich	3	422	False	Ich_möchte_eine_neue_Technik_in_meinem_nächsten_Stück_benutzen.	1	3891	NA	6	6	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	39	1	Ich	3	400	False	Ich_trinke_normalerweise_einige_Liter_Bier_am_Samstagabend.	1	5300	6	7	7	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	77	1	Normalerweise	13	572	False	Normalerweise_kaufe_ich_Wolle_direkt_von_einem_Geschäft_auf_dem_Land.	1	3357	NA	8	8	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	46	1	Ich	3	465	False	Ich_freue_mich_schon_darauf,_am_Wochenende_die_Berge_zu_sehen.	1	4923	NA	9	9	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	4	1	Ich	3	350	False	Ich_befürworte_die_Ideen,_über_die_Plato_in_seinen_Texten_schreibt.	1	3368	7	10	10	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	51	1	Es	2	352	False	Es_ist_schwierig_für_mich,_Zeit_für_Familie_und_Freunde_zu_finden.	1	4196	NA	11	11	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	9	1	Nach	4	364	False	Nach_der_Arbeit_werde_ich_diesen_Freitag_Abend_früher_in_die_Kirche_gehen.	1	3610	12	12	12	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	48	1	Ich	3	433	False	Ich_verwechsle_nie_die_Kabel_wenn_ich_an_einem_elektrischen_System_arbeite.	1	3884	NA	13	13	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	10	1	Meine	5	370	False	Meine_Haut_sieht_aus_wie_Schokolade_nach_all_der_Zeit_im_Urlaub.	1	2509	6	14	14	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	90	1	Ich	3	406	False	Ich_kaufe_mein_Gemüse_nur_in_Bioläden.	1	2617	NA	15	15	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	72	1	Ich	3	376	False	Ich_mache_gerne_Bilder_von_der_Natur.	1	3326	NA	16	16	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	31	1	Morgen	6	343	False	Morgen_schließe_ich_den_Kauf_meines_Landhauses_in_Florida_ab.	1	4735	7	17	17	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	97	1	Wenn	4	420	False	Wenn_ich_jemandem_helfe,_tun_mir_andere_einen_Gefallen_beim_nächsten_Mal.	0	3414	NA	18	18	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	40	1	Gestern	7	334	False	Gestern_habe_ich_mir_eine_schöne_Rolex_in_der_Innenstadt_gekauft.	1	2236	7	19	19	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	78	1	Das	3	309	False	Das_ist_nicht_das_Leben,_das_ich_mir_gewünscht_habe.	1	2066	NA	20	20	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	63	1	Ich	3	347	False	Ich_erwarte_ein_Geschenk_von_meinen_Eltern.	1	3769	NA	21	21	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	5	1	Nächste	8	456	False	Nächste_Woche_werde_ich_einen_Ferrari_kaufen.	1	2481	6	22	22	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	42	1	Ich	3	333	False	Ich_muss_neue_Pinsel_für_meinen_Zeichenkurs_kaufen.	1	2782	NA	23	23	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	60	1	Ich	3	341	False	Ich_gehe_dieses_Wochenende_ins_Theater,_zusammen_mit_Freunden.	1	2722	NA	24	24	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	22	1	Am	2	329	False	Am_Wochenende_spiele_ich_Fußball_im_Park.	1	2587	5	25	25	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	92	1	Ich	3	312	False	Ich_arbeite_jeden_Tag_mit_Mäusen,_an_denen_ich_forsche.	1	10766	NA	26	26	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	7	1	Morgen	6	361	False	Morgen_werde_ich_meine_Figur_von_Lego_fertigbauen.	1	1906	7	27	27	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	58	1	Ich	3	294	False	Ich_esse_gerne_Fisch_mit_Tartar_und_Meerrettich.	1	3565	NA	28	28	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	98	1	Viele	5	331	False	Viele_jungle_Leute_wollen_Privilegien,_aber_keine_Verantwortung.	1	1844	NA	29	29	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	24	1	Jeden	5	413	False	Jeden_Abend_decke_ich_den_Tisch_für_die_ganze_Familie,_mit_Tellern,_Essstäbchen_und_Gläsern.	1	3035	13	30	30	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	88	1	Nach	4	285	False	Nach_dem_Essen_sitze_ich_auf_dem_Bett_und_schaue_aus_dem_Fenster.	1	2060	NA	31	31	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	29	1	Was	3	365	False	Was_ich_im_Leben_wirklich_schätze,_ist_am_Ende_des_Arbeitstages_einen_Hamburger_zu_essen.	1	2094	13	32	32	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	67	1	Entschuldigung,	15	496	False	Entschuldigung,_wir_haben_heute_keine_Tomaten_mehr.	0	5817	NA	33	33	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	55	1	Ich	3	372	False	Ich_bin_bereit,_um_das_Training_für_die_Olympischen_Spiele_zu_starten.	1	3441	NA	34	34	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	34	1	Ich	3	317	False	Ich_mache_dir_ein_Angebot,_das_du_nicht_ablehnen_kannst.	1	2492	5	35	35	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	43	1	Ich	3	337	False	Ich_trage_nur_Schuhe_aus_Leder.	0	3978	NA	36	36	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	27	1	Ich	3	284	False	Ich_gehe_oft_zum_Gottesdienst,_um_über_tiefe_philosophische_Fragen_nachzudenken.	0	6146	5	37	37	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	53	1	Morgen	6	358	False	Morgen_werde_ich_endlich_das_neue_Parfüm_von_Guerlain_kaufen.	1	2229	NA	38	38	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	94	1	Wenn	4	334	False	Wenn_ich_an_Weihnachten_zurück_in_die_Stadt_komme,_verbringe_ich_wieder_Zeit_mit_meinen_Freunden.	1	1900	NA	39	39	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	20	1	Ich	3	341	False	Ich_werde_meinen_Smoking_auf_der_Bühne_tragen.	1	2827	4	40	40	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	83	1	Es	2	263	False	Es_gibt_nichts_Besseres_als_eine_Rose,_um_zu_sagen,_dass_man_in_jemanden_verliebt_ist.	0	3107	NA	41	41	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	33	1	Normalerweise	13	397	False	Normalerweise_gehe_ich_jeden_Freitag_in_die_Moschee_mit_meiner_Frau.	1	3681	8	42	42	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	96	1	Meiner	6	274	False	Meiner_Meinung_nach_hat_Spider-Man_die_beste_Handlung.	1	2124	NA	43	43	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	95	1	Ich	3	285	False	Ich_arbeite_gerade_an_einer_Ausgrabung_im_ehemaligen_Magna_Graecia.	0	4522	NA	44	44	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	30	1	Ich	3	251	False	Ich_habe_gerade_einen_neuen_Trick_auf_dem_Boden_erfunden.	1	2124	6	45	45	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	85	1	Ich	3	323	False	Ich_möchte_gern_im_Sandkasten_spielen_mit_meiner_Freundin_Lily.	1	2217	NA	46	46	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	3	1	Diesen	6	318	False	Diesen_Samstag_kann_ich_mit_dem_Traktor_fahren_und_die_Felder_pflügen.	1	4165	7	47	47	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	52	1	Ich	3	275	False	Ich_habe_gestern_vergessen,_meine_Pillen_zu_nehmen.	1	4696	NA	48	48	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	12	1	Morgen	6	271	False	Morgen_werde_ich_mir_eine_Sinfonie_in_der_Royal_Albert_Hall_anhören.	0	4101	6	49	49	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	50	1	Ich	3	282	False	Ich_will_Kinder_haben_bevor_ich_30_bin.	1	1650	NA	50	50	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	65	1	Ich	3	301	False	Ich_wurde_überrascht_von_den_Fähigkeiten_meines_Gegners,_er_hat_mich_geschlagen.	1	1529	NA	51	51	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	1	1	Jeden	5	326	False	Jeden_Freitag_Abend_gehe_ich_gern_ins_Casino,_um_Poker_zu_spielen.	1	5623	8	52	52	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	57	1	Ich	3	308	False	Ich_mag_es_überhaupt_nicht,_eingesperrte_Tiere_in_ihren_Zookäfigen_zu_sehen.	1	4234	NA	53	53	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	26	1	Gute	4	297	False	Gute_Arbeitsstellen_sollten_für_alle_Flüchtlinge_verfügbar_sein.	1	2161	6	54	54	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	54	1	Ich	3	302	False	Ich_fahre_immer_mit_dem_Fahrrad_an_die_Uni.	1	2144	NA	55	55	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	61	1	Ich	3	286	False	Ich_freue_mich_schon_auf_meinen_Roadtrip_in_die_Türkei_im_Sommer.	1	2399	NA	56	56	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	35	1	Bevor	5	297	False	Bevor_ich_Freunde_treffe,_mache_ich_Make-up_auf_mein_Gesicht.	1	1509	7	57	57	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	80	1	Wo	2	324	False	Wo_hast_du_die_Schere_diesmal_wieder_hingelegt?	1	2406	NA	58	58	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	16	1	Zu	2	302	False	Zu_Weihnachten_wünsche_ich_mir_eine_Barbie_im_Hochzeitskleid.	1	1471	7	59	59	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	79	1	Was	3	310	False	Was_ich_an_Malta_mag,_ist_dass_man_nie_Regen_am_Himmel_sieht	1	3516	NA	60	60	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	62	1	Jeden	5	269	False	Jeden_Tag_genieße_ich_meinen_Tee_pünktlich_um_fünf_Uhr.	1	1907	NA	61	61	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	17	1	Manchmal	8	284	False	Manchmal_nehme_ich_einfach_mein_Gewehr_und_fahre_in_den_Wald,_um_ein_paar_Hirsche_zu_jagen.	1	2030	6	62	62	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	91	1	Ich	3	243	False	Ich_habe_heute_auf_eine_Anzeige_geantwortet.	1	2447	NA	63	63	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	2	1	Ich	3	297	False	Ich_warte_ungeduldig_auf_meine_Hochzeit_nächsten_Monat.	1	1814	6	64	64	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	76	1	Ich	3	286	False	Ich_mag_gerne_Wasser_und_jeden_Sport,_der_damit_zu_tun_hat.	0	5514	NA	65	65	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	47	1	Eines	5	234	False	Eines_Tages_würde_ich_gern_zum_Amazonas_fahren,_um_die_Natur_dort_aufzunehmen.	1	3116	NA	66	66	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	11	1	Ich	3	246	False	Ich_probiere_gern_meinen_süßen_Tabak,_wenn_ich_zu_Hause_bin.	1	1726	6	67	67	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	81	1	Ich	3	275	False	Ich_möchte_gern_Kinderärztin_werden,_wenn_ich_mit_der_Uni_fertig_bin.	1	1974	NA	68	68	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	28	1	Ich	3	260	False	Ich_könnte_nicht_leben_ohne_mein_iPhone_oder_meine_Familie.	1	2590	7	69	69	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	73	1	Ich	3	300	False	Ich_zögere_nicht,_meine_Unterschrift_an_die_Fans_zu_geben.	1	1642	NA	70	70	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	89	1	Ich	3	278	False	Ich_hätte_gern_ein_Kaninchen_als_Haustier.	1	1394	NA	71	71	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	37	1	Es	2	292	False	Es_stört_mich_überhaupt_nicht,_Windeln_bei_kleinen_Kindern_zu_wechseln.	1	2631	6	72	72	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	44	1	Ich	3	290	False	Ich_will_den_Marathon_im_Juni_laufen.	1	2292	NA	73	73	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	14	1	Ich	3	255	False	Ich_bin_ein_Verfechter_von_Recycling_als_effiziente_Art,_die_Umwelt_zu_schützen.	1	3889	6	74	74	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	56	1	Ich	3	271	False	Ich_mache_Tacos_zum_Abendessen.	1	1919	NA	75	75	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	68	1	Ich	3	227	False	Ich_glaube,_dass_die_Robotik_und_angrenzende_Felder_Zukunft_haben.	1	3361	NA	76	76	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	19	1	Meiner	6	331	False	Meiner_Meinung_nach_sind_die_wichtigsten_Dinge_im_Leben_Bildung_und_Literatur.	1	5195	10	77	77	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	99	1	Ich	3	245	False	Ich_spiele_normalerweise_in_vollen_Straßen_in_großen_Städten.	1	2332	NA	78	78	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	32	1	Ich	3	287	False	Ich_hätte_gerne_einen_Salat_und_ein_Glas_Wasser.	1	2112	5	79	79	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	84	1	Ich	3	273	False	Ich_brauche_noch_einige_Dokumente,_bevor_ich_fliegen_kann.	1	2019	NA	80	80	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	87	1	Ich	3	279	False	Ich_mag_definitiv_kein_Gold_neben_Silber.	1	2564	NA	81	81	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	25	1	An	2	282	False	An_den_meisten_Abenden_esse_ich_Hummer_und_Calamari.	0	3494	7	82	82	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	59	1	Ich	3	257	False	Ich_suche_nach_dem_perfekten_Kleid_für_meine_Hochzeit.	1	3688	NA	83	83	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	18	1	Jeden	5	266	False	Jeden_morgen_poliere_ich_meine_Violine_und_übe_zwei_Stunden_lang.	1	2237	6	84	84	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	75	1	Ich	3	229	False	Ich_brauche_eine_neue_Idee_für_mein_nächstes_Buch.	1	2241	NA	85	85	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	69	1	Ich	3	248	False	Ich_verkaufte_mein_Geschäft_an_einen_Immobilienhändler_zu_einem_guten_Preis.	1	1548	NA	86	86	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	23	1	Ich	3	247	False	Ich_werde_heute_meine_Freunde_im_Nachtclub_treffen.	1	1837	7	87	87	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	70	1	Ich	3	292	False	Ich_will_mich_in_der_nächsten_Amtsperiode_zum_Bürgermeister_wählen_lassen.	1	1440	NA	88	88	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	8	1	Ich	3	295	False	Ich_verlasse_meine_Wohnung_nie_ohne_meine_Waffe_und_eine_kugelsichere_Weste.	1	1837	8	89	89	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	64	1	Ich	3	292	False	Ich_würde_gern_Professor_werden,_wenn_ich_älter_bin.	1	1794	NA	90	90	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	100	1	Ich	3	275	False	Ich_bereite_normalerweise_meine_Reden_vor,_anstatt_aus_dem_Stegreif_zu_erzählen.	1	2609	NA	91	91	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.mK	13	1	Ich	3	286	False	Ich_liebe_es,_am_Wochenende_einen_Lauf_durch_das_Gelände_zu_machen.	0	3216	7	92	92	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	82	1	Ich	3	317	False	Ich_liebe_die_Altstadt_von_Barcelona.	1	1705	NA	93	93	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.pK	38	1	Ich	3	309	False	Ich_verkaufe_mein_nächstes_Kunstwerk_für_mindestens_80.000€.	1	2477	5	94	94	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	71	1	Ich	3	303	False	Ich_warte_darauf,_morgen_die_Lottozahlen_zu_sehen.	1	2044	NA	95	95	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	66	1	Ich	3	290	False	Ich_glaube,_dass_Aliens_irgendwo_im_Universum_existieren.	1	1527	NA	96	96	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	mS.mK	15	1	Ich	3	266	False	Ich_liebe_es,_zwei_Mal_pro_Woche_Kaviar_zu_essen.	0	5504	8	97	97	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	74	1	Ich	3	262	False	Ich_esse_gerne_Waffeln_mit_Nutella_auf_dem_Weihnachtsmarkt.	1	1494	NA	98	98	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	fillers	45	1	Ich	3	289	False	Ich_liebe_die_riesigen_Wellen_an_diesem_Nachmittag.	1	2126	NA	99	99	1
41	20	yes	male	Yes	Englisch	sehr gut	Französisch	mittel	Latein	etwas	41	July 06 2016 14:44:32	pS.pK	36	1	Ich	3	278	False	Ich_bin_mir_sicher,_dass_Kriegsdienst_eine_Wohltat_für_alle_ist.	1	1474	8	100	100	1
42	20	yes	male	Yes	Englisch	sehr gut	Franzoesisch	mittel	Latein	etwas	41	July 06 2016 14:46:44	fillers	62	1	Jeden	5	388	False	Jeden_Tag_genieße_ich_meinen_Tee_pünktlich_um_fünf_Uhr.	1	6824	NA	1	1	1
42	20	yes	male	Yes	Englisch	sehr gut	Franzoesisch	mittel	Latein	etwas	41	July 06 2016 14:46:44	pS.pK	12	1	Morgen	6	355	False	Morgen_werde_ich_mir_eine_Sinfonie_in_der_Royal_Albert_Hall_anhören.	0	11191	6	2	2	1
42	20	yes	male	Yes	Englisch	sehr gut	Franzoesisch	mittel	Latein	etwas	41	July 06 2016 14:46:44	fillers	80	1	Wo	2	435	False	Wo_hast_du_die_Schere_diesmal_wieder_hingelegt?	1	5360	NA	3	3	1
42	20	yes	male	Yes	Englisch	sehr gut	Franzoesisch	mittel	Latein	etwas	41	July 06 2016 14:46:44	pS.mK	33	1	Normalerweise	13	556	False	Normalerweise_gehe_ich_jeden_Freitag_in_die_Moschee_mit_meiner_Frau.	1	4921	8	4	4	1
42	20	yes	male	Yes	Englisch	sehr gut	Franzoesisch	mittel	Latein	etwas	41	July 06 2016 14:46:44	fillers	59	1	Ich	3	372	False	Ich_suche_nach_dem_perfekten_Kleid_für_meine_Hochzeit.	0	5584	NA	5	5	1
42	20	yes	male	Yes	Englisch	sehr gut	Franzoesisch	mittel	Latein	etwas	41	July 06 2016 14:46:44	fillers	78	1	Das	3	316	False	Das_ist_nicht_das_Leben,_das_ich_mir_gewünscht_habe.	1	3830	NA	6	6	1
42	20	yes	male	Yes	Englisch	sehr gut	Franzoesisch	mittel	Latein	etwas	41	July 06 2016 14:46:44	mS.pK	18	1	Jeden	5	324	False	Jeden_morgen_poliere_ich_meine_Violine_und_übe_zwei_Stunden_lang.	1	6259	6	7	7	1
